"ID","ID_FLUSSO","ANNO_PRA","NUM_PRA","COD_NUC","PRG_NUC","DAT_ACQUISIZIONE_DOC","PERCORSO_DOC","DAT_POPOLA_PILOTA"
"179764","202411","2024","00067708","014305","1",,,"07/11/2024"
"179830","202411","2024","00067709","020297","1",,,"07/11/2024"
"180334","202411","2024","00067710","020278","1",,,"07/11/2024"
"177596","202411","2024","00067711","015140","1",,,"07/11/2024"
"178376","202411","2024","00067712","014860","1",,,"07/11/2024"
"180505","202411","2024","00067713","020282","1",,,"07/11/2024"
"180567","202411","2024","00067714","020281","1",,,"07/11/2024"
"179240","202411","2024","00067715","020375","1",,,"07/11/2024"
"179595","202411","2024","00067716","014713","1",,,"07/11/2024"
"179893","202411","2024","00067717","020317","1",,,"07/11/2024"
"180589","202411","2024","00067718","020288","1",,,"07/11/2024"
"176530","202411","2024","00067719","020265","1",,,"07/11/2024"
"176779","202411","2024","00067720","020267","1",,,"07/11/2024"
"177788","202411","2024","00067721","014474","1",,,"07/11/2024"
"178065","202411","2024","00067722","014335","1",,,"07/11/2024"
"180382","202411","2024","00067723","019458","1",,,"07/11/2024"
"180835","202411","2024","00067724","020345","1",,,"07/11/2024"
"177459","202411","2024","00067725","020311","1",,,"07/11/2024"
"178627","202411","2024","00067726","020287","1",,,"07/11/2024"
"177005","202411","2024","00067727","020325","1",,,"07/11/2024"
"179492","202411","2024","00067728","020318","1",,,"07/11/2024"
"180937","202411","2024","00067729","020268","1",,,"07/11/2024"
"181014","202411","2024","00067730","020331","1",,,"07/11/2024"
"179244","202411","2024","00067731","020285","1",,,"07/11/2024"
"176295","202411","2024","00067732","020269","1",,,"07/11/2024"
"176394","202411","2024","00067733","019858","1",,,"07/11/2024"
"181133","202411","2024","00067734","020338","1",,,"07/11/2024"
"176392","202411","2024","00067735","020273","1",,,"07/11/2024"
"176523","202411","2024","00067736","020377","1",,,"07/11/2024"
"176939","202411","2024","00067737","019508","1",,,"07/11/2024"
"177571","202411","2024","00067738","015199","1",,,"07/11/2024"
"177689","202411","2024","00067739","020357","1",,,"07/11/2024"
"179167","202411","2024","00067740","020354","1",,,"07/11/2024"
"180533","202411","2024","00067741","020297","1",,,"07/11/2024"
"181120","202411","2024","00067742","020337","1",,,"07/11/2024"
"181196","202411","2024","00067743","020373","1",,,"07/11/2024"
"166952","202411","2024","00067744","020356","1",,,"07/11/2024"
"177614","202411","2024","00067745","020279","1",,,"07/11/2024"
"179065","202411","2024","00067746","020300","1",,,"07/11/2024"
"180096","202411","2024","00067747","020317","1",,,"07/11/2024"
"180448","202411","2024","00067748","020319","1",,,"07/11/2024"
"180916","202411","2024","00067749","020313","1",,,"07/11/2024"
"180870","202411","2024","00067750","020333","1",,,"07/11/2024"
"178260","202411","2024","00067751","020325","1",,,"07/11/2024"
"176004","202411","2024","00067752","019878","1",,,"07/11/2024"
"176272","202411","2024","00067753","020352","1",,,"07/11/2024"
"179529","202411","2024","00067754","020276","1",,,"07/11/2024"
"180423","202411","2024","00067755","020290","1",,,"07/11/2024"
"180554","202411","2024","00067756","020341","1",,,"07/11/2024"
"181189","202411","2024","00067757","020373","1",,,"07/11/2024"
"178432","202411","2024","00067758","020372","1",,,"07/11/2024"
"181273","202412","2024","00078090","014863","1",,,"06/12/2024"
"181479","202412","2024","00078091","020273","1",,,"06/12/2024"
"182377","202412","2024","00078092","020564","1",,,"06/12/2024"
"182731","202412","2024","00078093","020576","1",,,"06/12/2024"
"182808","202412","2024","00078094","020552","1",,,"06/12/2024"
"183511","202412","2024","00078095","020525","1",,,"06/12/2024"
"181393","202412","2024","00078096","020607","1",,,"06/12/2024"
"182967","202412","2024","00078097","020628","1",,,"06/12/2024"
"183921","202412","2024","00078098","020520","1",,,"06/12/2024"
"183987","202412","2024","00078099","020636","1",,,"06/12/2024"
"182552","202412","2024","00078100","020568","1",,,"06/12/2024"
"182757","202412","2024","00078101","020565","1",,,"06/12/2024"
"183262","202412","2024","00078102","014510","1",,,"06/12/2024"
"183942","202412","2024","00078103","020615","1",,,"06/12/2024"
"175659","202412","2024","00078104","020507","1",,,"06/12/2024"
"180858","202412","2024","00078105","014790","1",,,"06/12/2024"
"182169","202412","2024","00078106","020587","1",,,"06/12/2024"
"181948","202412","2024","00078107","020503","1",,,"06/12/2024"
"183108","202412","2024","00078108","020521","1",,,"06/12/2024"
"183489","202412","2024","00078109","020591","1",,,"06/12/2024"
"184116","202412","2024","00078110","020493","1",,,"06/12/2024"
"184127","202412","2024","00078111","020544","1",,,"06/12/2024"
"182712","202412","2024","00078112","020632","1",,,"06/12/2024"
"182854","202412","2024","00078113","020584","1",,,"06/12/2024"
"183004","202412","2024","00078114","020491","1",,,"06/12/2024"
"183006","202412","2024","00078115","020491","1",,,"06/12/2024"
"183036","202412","2024","00078116","019488","1",,,"06/12/2024"
"183448","202412","2024","00078117","020317","1",,,"06/12/2024"
"183886","202412","2024","00078118","020511","1",,,"06/12/2024"
"181638","202412","2024","00078119","020299","1",,,"06/12/2024"
"181809","202412","2024","00078120","020276","1",,,"06/12/2024"
"181487","202412","2024","00078121","020575","1",,,"06/12/2024"
"181722","202412","2024","00078122","020609","1",,,"06/12/2024"
"181940","202412","2024","00078123","020600","1",,,"06/12/2024"
"182325","202412","2024","00078124","020547","1",,,"06/12/2024"
"182396","202412","2024","00078125","020500","1",,,"06/12/2024"
"182501","202412","2024","00078126","020621","1",,,"06/12/2024"
