"TIPO_PAGAMENTO","PRG_ASSEGNO","NUM_ASSEGNO_BONIFICO","DAT_PAGAMENTO","IMPORTO","COD_ENTE_INTEST","DAT_ADDEBITO","FLG_STAMPATO","FLG_A_B_UFFICIO","ORIGINE","COD_COMP","COD_PROVIDER","COD_NUC","PRG_NUC","INTEST_DEC_1","INTEST_DEC_2","NOTA_1","NOTA_2","NOTA_3","COD_STR"
"B","49316","49316","2024-10-23 00:00:00.0","152.4",,,"S","S","P","0001",,"019822","1",,,"2024","00059791",,
"B","49317","49317","2024-10-23 00:00:00.0","200",,,"S","S","P","0001",,"014884","1",,,"2024","00059792",,
"B","49318","49318","2024-10-23 00:00:00.0","525",,,"S","S","P","0001",,"014307","1",,,"2024","00059793",,
"B","49319","49319","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019899","1",,,"2024","00059794",,
"B","49320","49320","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019347","1",,,"2024","00059795",,
"B","49321","49321","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019912","1",,,"2024","00059796",,
"B","49322","49322","2024-10-23 00:00:00.0","250",,,"S","S","P","0001",,"019246","1",,,"2024","00059797",,
"B","49323","49323","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019861","1",,,"2024","00059798",,
"B","49324","49324","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019816","1",,,"2024","00059799",,
"B","49325","49325","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019895","1",,,"2024","00059800",,
"B","49326","49326","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019834","1",,,"2024","00059801",,
"B","49327","49327","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019901","1",,,"2024","00059802",,
"B","49328","49328","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019830","1",,,"2024","00059803",,
"B","49329","49329","2024-10-23 00:00:00.0","450",,,"S","S","P","0001",,"019866","1",,,"2024","00059804",,
"B","49330","49330","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019842","1",,,"2024","00059805",,
"B","49331","49331","2024-10-23 00:00:00.0","3300",,,"S","S","P","0001",,"019880","1",,,"2024","00059806",,
"B","49332","49332","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019814","1",,,"2024","00059807",,
"B","49333","49333","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019910","1",,,"2024","00059808",,
"B","49334","49334","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"014334","1",,,"2024","00059809",,
"B","49335","49335","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019350","1",,,"2024","00059810",,
"B","49336","49336","2024-10-23 00:00:00.0","1515",,,"S","S","P","0001",,"019876","1",,,"2024","00059811",,
"B","49337","49337","2024-10-23 00:00:00.0","2000",,,"S","S","P","0001",,"019913","1",,,"2024","00059812",,
"B","49338","49338","2024-10-23 00:00:00.0","1761",,,"S","S","P","0001",,"019844","1",,,"2024","00059813",,
"B","49339","49339","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019905","1",,,"2024","00059814",,
"B","49340","49340","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019863","1",,,"2024","00059815",,
"B","49341","49341","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019835","1",,,"2024","00059816",,
"B","49342","49342","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019852","1",,,"2024","00059817",,
"B","49343","49343","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019883","1",,,"2024","00059819",,
"B","49344","49344","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019859","1",,,"2024","00059820",,
"B","49345","49345","2024-10-23 00:00:00.0","80",,,"S","S","P","0001",,"019820","1",,,"2024","00059821",,
"B","49346","49346","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"015090","1",,,"2024","00059822",,
"B","49347","49347","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019877","1",,,"2024","00059823",,
"B","49348","49348","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019858","1",,,"2024","00059824",,
"B","49349","49349","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019810","1",,,"2024","00059825",,
"B","49350","49350","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019807","1",,,"2024","00059826",,
"B","49351","49351","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019827","1",,,"2024","00059827",,
"B","49352","49352","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019825","1",,,"2024","00059828",,
"B","49353","49353","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019904","1",,,"2024","00059829",,
"B","49354","49354","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019269","1",,,"2024","00059830",,
"B","49355","49355","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"014869","1",,,"2024","00059831",,
"B","49356","49356","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019896","1",,,"2024","00059832",,
"B","49357","49357","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019875","1",,,"2024","00059833",,
"B","49358","49358","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019805","1",,,"2024","00059834",,
"B","49359","49359","2024-10-23 00:00:00.0","600",,,"S","S","P","0001",,"019865","1",,,"2024","00059835",,
"B","49360","49360","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019879","1",,,"2024","00059836",,
"B","49361","49361","2024-10-23 00:00:00.0","350",,,"S","S","P","0001",,"019801","1",,,"2024","00059837",,
"B","49362","49362","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"015131","1",,,"2024","00059838",,
"B","49363","49363","2024-10-23 00:00:00.0","750",,,"S","S","P","0001",,"019855","1",,,"2024","00059839",,
"B","49364","49364","2024-10-23 00:00:00.0","900",,,"S","S","P","0001",,"019878","1",,,"2024","00059840",,
"B","49365","49365","2024-10-23 00:00:00.0","3800",,,"S","S","P","0001",,"019890","1",,,"2024","00059841",,
"B","49366","49366","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019898","1",,,"2024","00059842",,
"B","49367","49367","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019860","1",,,"2024","00059843",,
"B","49368","49368","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019871","1",,,"2024","00059844",,
"B","49369","49369","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019303","1",,,"2024","00059845",,
"B","49370","49370","2024-10-23 00:00:00.0","80",,,"S","S","P","0001",,"014432","1",,,"2024","00059846",,
"B","49371","49371","2024-10-23 00:00:00.0","115",,,"S","S","P","0001",,"015109","1",,,"2024","00059847",,
"B","49372","49372","2024-10-23 00:00:00.0","525",,,"S","S","P","0001",,"019907","1",,,"2024","00059848",,
"B","49373","49373","2024-10-23 00:00:00.0","108",,,"S","S","P","0001",,"019849","1",,,"2024","00059849",,
"B","49374","49374","2024-10-23 00:00:00.0","622.5",,,"S","S","P","0001",,"019815","1",,,"2024","00059850",,
"B","49375","49375","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"014527","1",,,"2024","00059851",,
"B","49376","49376","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019802","1",,,"2024","00059852",,
"B","49377","49377","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019839","1",,,"2024","00059853",,
"B","49378","49378","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019909","1",,,"2024","00059854",,
"B","49379","49379","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019804","1",,,"2024","00059855",,
"B","49380","49380","2024-10-23 00:00:00.0","200",,,"S","S","P","0001",,"019827","1",,,"2024","00059856",,
"B","49381","49381","2024-10-23 00:00:00.0","450",,,"S","S","P","0001",,"019887","1",,,"2024","00059857",,
"B","49382","49382","2024-10-23 00:00:00.0","1350",,,"S","S","P","0001",,"019897","1",,,"2024","00059858",,
"B","49383","49383","2024-10-23 00:00:00.0","400",,,"S","S","P","0001",,"019906","1",,,"2024","00059859",,
"B","49384","49384","2024-10-23 00:00:00.0","250",,,"S","S","P","0001",,"019902","1",,,"2024","00059860",,
"B","46203","46203","2024-12-02 00:00:00.0","700",,,"S","S","P","0001",,"011144","1",,,"2024","00074081",,
"B","46204","46204","2024-12-02 00:00:00.0","68.6",,,"S","S","P","0001",,"011297","2",,,"2024","00074089",,
"B","46205","46205","2024-12-02 00:00:00.0","36.15",,,"S","S","P","0001",,"016253","2",,,"2024","00074097",,
"B","46206","46206","2024-12-02 00:00:00.0","59",,,"S","S","P","0001",,"011305","1",,,"2024","00074099",,
"B","46207","46207","2024-12-02 00:00:00.0","100",,,"S","S","P","0001",,"018821","1",,,"2024","00074101",,
"B","46208","46208","2024-12-02 00:00:00.0","20",,,"S","S","P","0001",,"006315","1",,,"2024","00074103",,
"B","46209","46209","2024-12-02 00:00:00.0","45",,,"S","S","P","0001",,"019083","1",,,"2024","00074105",,
"B","46210","46210","2024-12-02 00:00:00.0","46.15",,,"S","S","P","0001",,"010756","1",,,"2024","00074107",,
"B","46211","46211","2024-12-02 00:00:00.0","28.5",,,"S","S","P","0001",,"008136","2",,,"2024","00074109",,
"B","46212","46212","2024-12-02 00:00:00.0","70",,,"S","S","P","0001",,"019083","1",,,"2024","00074111",,
"B","46213","46213","2024-12-02 00:00:00.0","240",,,"S","S","P","0001",,"004625","1",,,"2024","00074113",,
"B","46214","46214","2024-12-02 00:00:00.0","32.28",,,"S","S","P","0001",,"007149","2",,,"2024","00074115",,
