"COD_ACC","COD_ENTE","DES_ACC","FLG_BONUS_MALUS_ANNUALE","FLG_RATEIZZAZIONE","DAT_INI","DAT_FIN","FLG_SOSP","COD_SPESE","FLG_ACC_BR"
"0064","0060","STEDAN SRL","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0166","0069","ASSIPROFAR 2024/2025","N","A","2024-10-01 00:00:00.0","2025-10-01 00:00:00.0","D","Z","N"
"0181","0049","MUNICH RE 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0228","0012","Q8 2022","N","A","2022-01-01 00:00:00.0","2022-12-31 00:00:00.0","D","Z","N"
"0229","0057","AUBAY 2022","N","A","2022-01-01 00:00:00.0","2022-12-31 00:00:00.0","D","Z","N"
"0041","0038","C.A.S.S.A. 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0098","0016","FONDO TUTELA 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0182","0070","GREAT LAKES 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0202","0074","SITALFA 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0203","0075","TECNOSITAF 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0183","0013","CASINO DE LA VALLEE 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0034","0031","MODIS","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0139","0046","JULIA PORTFOLIO SOLUTIONS","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0140","0045","AQUILEIA CAPITAL SERVICES","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0162","9999","ENTE DI PROVA","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","S","Z","N"
"0053","0049","MUNICH RE","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0226","9999","ENTE DI PROVA","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","S","Z","N"
"0186","0014","Q8 QUASER 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0187","0015","SIGEMI 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0052","0048","TOWER WATSON","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0051","0047","NATISSA SGR","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0225","0078","TORRISI 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0216","0077","DIOR CREATION 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0038","0035","MITUTELA","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0227","0053","MECAER AVIATION GROUP SPA","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0015","0012","Q8 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0222","0032","FONDO TUTELA SATOR SPA","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0231","0002","PIANO SANITARIO SILVER","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","S","Z","N"
"0232","0079","UBAE 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","S","Z","N"
