"COD_ACC","PRG_CONV","NUM_POLIZZA","COD_COMP","DES_CONV","PERC_ACCANTONAMENTO","CODICE_POLIZZA_AZIENDA","ACCORDO_NP","PRG_GRUPPO_INVIO","COD_PROVIDER","MAX_GG_PAGAMENTO","FLG_LIQUIDAZIONE_DIRETTA"
"0098","288","72908434","0001","FDO TUTELA 10 EDIL PETRUCCI SN","0",,"A","1","CONV","30","N"
"0098","61","72908205","0001","FDO TUTELA 11 ABITRANS SRL","0",,"A","1","CONV","30","N"
"0098","303","72908423","0001","FDO TUTELA 01BIS SEAC FIN SPA","0",,"A","1","CONV","30","N"
"0217","212","72908388","0001","FT4 EDIL MERELLO PORTOFINO","0",,"A","1","CONV","30","N"
"0008","1","501049432","0001","AON ITALIA IMPIEGATI","0",,"A","1","CONV","30","S"
"0217","36","72908424","0001","FT4 VUEMME","0",,"A","1","CONV","30","N"
"0217","37","72908424","0001","FT4 >70 VUEMME","0",,"A","1","CONV","30","N"
"0217","38","72908409","0001","FT3 HANSECOM ITALIA","0",,"A","1","CONV","30","N"
"0217","134","72908226","0001","FT3 BRC SPA","0",,"A","1","CONV","30","N"
"0056","14","253742119","0002","P&P AZIENDE COMPLETA 2P","0",,"A","2","CONV","60","N"
"0185","1","501225799","0001","FASDAPI AMMINISTRATORI","0",,"A","1","CONV","30","N"
"0185","2","501225799","0001","AMM. DENTARIE IN CONVENZIONE","0",,"A","1","CONV","30","N"
"0185","3","501225799","0001","AMM. DENTARIE NON CONVENZIONE","0",,"A","1","CONV","30","N"
"0185","4","501225799","0001","AMM. DENT. CONV. II SEMESTRE","0",,"A","1","CONV","30","N"
"0185","5","501225799","0001","AMM. DENT NO CONV. II SEMESTRE","0",,"A","1","CONV","30","N"
"0185","6","501225799","0001","FASDAPI DIRIGENTI","0",,"A","1","CONV","30","N"
"0185","7","501225799","0001","DIR. DENTARIE IN CONVENZIONE","0",,"A","1","CONV","30","N"
"0185","8","501225799","0001","DIR. DENTARIE NON CONVENZIONE","0",,"A","1","CONV","30","N"
"0185","9","501225799","0001","DIR. DENT. CONV. II SEMESTRE","0",,"A","1","CONV","30","N"
"0185","10","501225799","0001","DIR. DENT NO CONV. II SEMESTRE","0",,"A","1","CONV","30","N"
"0185","11","501225799","0001","FASDAPI QUADRI","0",,"A","1","CONV","30","N"
"0185","12","501225799","0001","QUADRI DENTARIE IN CONVENZIONE","0",,"A","1","CONV","30","N"
"0185","13","501225799","0001","QUAD. DENTARIE NON CONVENZIONE","0",,"A","1","CONV","30","N"
"0185","14","501225799","0001","QUADRI DENT. CONV. II SEMESTRE","0",,"A","1","CONV","30","N"
"0185","15","501225799","0001","QUA. DENT NO CONV. II SEMESTRE","0",,"A","1","CONV","30","N"
"0185","16","501225800","0001","FASDAPI INTEGRATIVA DIRIGENTI","0",,"A","1","CONV","30","N"
"0185","17","501225800","0001","DENTARIE INTEGRATIVA DIRIGENTI","0",,"A","1","CONV","30","N"
"0185","18","501225800","0001","DENTARIE INTEGR. DIR. II SEMES","0",,"A","1","CONV","30","N"
"0189","1","501258069","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0189","2","501258069","0001","JUNIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0189","3","501258069","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0189","4","501258069","0001","SENIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0190","1","501258060","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0190","2","501258060","0001","JUNIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0190","3","501258060","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0190","4","501258060","0001","SENIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0191","1","501258016","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0191","2","501258016","0001","JUNIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0191","3","501258016","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0191","4","501258016","0001","SENIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0192","1","506447020","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0192","2","506447020","0001","SENIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0192","3","506447020","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0192","4","506447020","0001","JUNIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0179","83","506601126","0001","OPZ AI/QUAS/5 BASE SPEZIALFOND","0",,"A","1","CONV","0","N"
"0040","2","500881464","0001","ASCOM RICOVERO 2000,01-5000,00","0",,"A","1","CONV","0","N"
"0038","46","72908149","0001","MITUTELA BASE 020","0",,"A","1","CONV","0","N"
"0038","94","72908380","0001","MITUTELA MEDIUM 041","0",,"A","1","CONV","0","N"
"0108","1","253742117","0002","P&P BASE COMPLETA","0",,"A","2","CONV","60","N"
"0108","2","253742117","0002","P&P BASE COMPLETA > 80","0",,"A","2","CONV","60","N"
"0108","3","253742117","0002","P&P BASE INTEGRATIVA","0",,"A","2","CONV","60","N"
"0108","4","253742117","0002","P&P BASE INTEGRATIVA > 80","0",,"A","2","CONV","60","N"
"0108","5","253742118","0002","P&P PLUS COMPLETA 1P","0",,"A","2","CONV","60","N"
"0108","6","253742118","0002","P&P PLUS COMPLETA 2P","0",,"A","2","CONV","60","N"
"0108","7","253742118","0002","P&P PLUS COMPLETA 2P > 80","0",,"A","2","CONV","60","N"
"0108","8","253742118","0002","P&P PLUS INTEGRATIVA 1P","0",,"A","2","CONV","60","N"
"0108","9","253742118","0002","P&P PLUS INTEGRATIVA 1P > 80","0",,"A","2","CONV","60","N"
"0108","10","253742118","0002","P&P PLUS INTEGRATIVA 2P","0",,"A","2","CONV","60","N"
"0108","11","253742118","0002","P&P PLUS INTEGRATIVA 2P > 80","0",,"A","2","CONV","60","N"
"0108","12","253742118","0002","P&P PLUS INTEGRATIVA 3P","0",,"A","2","CONV","60","N"
"0108","13","253742119","0002","P&P AZIENDE COMPLETA 1P","0",,"A","2","CONV","60","N"
"0108","14","253742119","0002","P&P AZIENDE COMPLETA 2P","0",,"A","2","CONV","60","N"
"0108","15","253742119","0002","P&P AZIENDE COMPLETA 3P","0",,"A","2","CONV","60","N"
"0108","16","253742119","0002","P&P AZIENDE COMPLETA 4+P","0",,"A","2","CONV","60","N"
"0108","17","253742119","0002","P&P AZIENDE INTEGRATIVA 4+P","0",,"A","2","CONV","60","N"
"0137","1","79268089","0001","MODIS OPZ. 1","0",,"A","1","CONV","30","N"
"0137","2","79268089","0001","MODIS OPZ. 2 DIRETTE","0",,"A","1","CONV","30","N"
"0137","3","79268089","0001","MODIS OPZ. 2 INDIRETTE","0",,"A","1","CONV","30","N"
"0098","120","72908208","0001","FDO TUTELA 10 COMUNIAN ZANETTI","0",,"A","1","CONV","30","N"
"0098","121","72908209","0001","FDO TUTELA 10 CORDIOLI SRL","0",,"A","1","CONV","30","N"
"0098","262","501049260","0001","FDO TUTELA 14 D.T.E. SRL","0",,"A","1","CONV","30","N"
"0098","301","72908446","0001","FDO TUTELA 11 SAFLER SRL","0",,"A","1","CONV","30","N"
"0146","23","505798103","0001","CASSA OPZ A AB INITIO","0",,"A","1","CONV","0","N"
"0165","1","505586238","0001","SPORT E SALUTE BASE DIP","0",,"A","1","CONV","20","N"
"0098","315","72908482","0001","FDO TUTELA 06 ZELGER ALBERT SR","0",,"A","1","CONV","0","N"
"0166","64","506188042","0001","SOCI 73 ANNI","0",,"A","1","CONV","30","N"
"0169","1","0000000000","0003","ISCRITTI FONDO MAX ILLIMITATO","0",,"A","12","CONV","0","N"
"0170","1","0000000000","0003","ISCRITTI FONDO MAX ILLIMITATO","0",,"A","12","CONV","0","N"
"0203","3","506552236","0001","QUADRI NUCLEO 3 ASSICURATI","0",,"A","1","CONV","30","N"
"0203","4","506552236","0001","DIPENDENTI SINGLE","0",,"A","1","CONV","30","N"
"0203","5","506552236","0001","DIPENDENTI CON NUCLEO","0",,"A","1","CONV","30","N"
"0204","1","506552233","0001","DIPENDENTI SINGLE","0",,"A","1","CONV","30","N"
"0204","2","506552233","0001","DIPENDENTI CON NUCLEO","0",,"A","1","CONV","30","N"
"0204","3","506552233","0001","QUADRI SINGLE","0",,"A","1","CONV","30","N"
"0019","70","500881932","0001","FONDO TUTELA 11_014","0",,"A","1","CONV","30","N"
"0019","71","501049072","0001","FONDO TUTELA 11_015","0",,"A","1","CONV","30","N"
"0038","114","500881479","0001","MITUTELA BASE 055","0",,"A","1","CONV","0","N"
"0098","91","72908082","0001","FDO TUTELA 01 KREION RE SRL","0",,"A","1","CONV","30","N"
"0179","30","506601079","0001","OPZ KAPPA/EST S BASE WL GORE","0",,"A","1","CONV","0","N"
"0204","7","506552233","0001","QUADRI NUCLEO 2 ASSICURATI","0",,"A","1","CONV","30","N"
"0025","1","501258069","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0041","4","501049080","0001","CASSA OPZIONE A INT 001","0",,"A","1","CONV","0","N"
"0060","2","501595790","0001","JDS RE HOLDING QUADRI","0",,"A","1","CONV","0","N"
"0179","33","505798915","0001","OPZ AI/QUAS/6 BAD COCKROACH","0",,"A","1","CONV","0","N"
"0036","1","72908203","0001","TINABA SRL IMPIEGATI","0",,"A","1","CONV","30","N"
"0038","2","72908088","0001","MITUTELA MEDIUM 001","0",,"A","1","CONV","0","N"
"0048","2","79903163","0001","QUADRI","0",,"A","1","CONV","30","N"
"0038","70","72908305","0001","MITUTELA BASE 034","0",,"A","1","CONV","0","N"
"0038","71","72908307","0001","MITUTELA BASE 035","0",,"A","1","CONV","0","N"
"0038","72","72908311","0001","MITUTELA BASE 036","0",,"A","1","CONV","0","N"
"0038","84","72908356","0001","MITUTELA BASE 042","0",,"A","1","CONV","0","N"
"0038","85","72908357","0001","MITUTELA BASE 043","0",,"A","1","CONV","0","N"
"0038","86","72908358","0001","MITUTELA MEDIUM 037","0",,"A","1","CONV","0","N"
"0038","87","72908362","0001","MITUTELA MEDIUM 038","0",,"A","1","CONV","0","N"
"0038","89","72908368","0001","MITUTELA MEDIUM 039","0",,"A","1","CONV","0","N"
"0038","93","72908375","0001","MITUTELA BASE 047","0",,"A","1","CONV","0","N"
"0078","1","501671729","0001","DIPENDENTI COMUNE BOLOGNA","0",,"A","1","CONV","30","N"
"0162","2","0000000000","0003","AGGIUNTIVA","0",,"A","12","CONV","30","N"
"0098","270","72908409","0001","FDO TUTELA 04 HANSECOM ITALIA","0",,"A","1","CONV","30","N"
"0098","308","72908465","0001","FDO TUTELA 11 GHIANDAIA SRL","0",,"A","1","CONV","30","N"
"0179","25","505798989","0001","OPZ AC2SCK BAD INTERSYSTEMS","0",,"A","1","CONV","0","N"
"0179","26","505798990","0001","OPZ AI2NCK BASE INTERSYSTEMS","0",,"A","1","CONV","0","N"
"0179","40","505798995","0001","OPZ GAMMA PLUS AUTOPROFF ITALY","0",,"A","1","CONV","0","N"
"0056","1","253742117","0002","P&P BASE COMPLETA","0",,"A","2","CONV","60","N"
"0041","21","501049327","0001","CASSA OPZIONE A INT Q TIT 001","0",,"A","1","CONV","0","N"
"0041","22","501049327","0001","CASSA OPZIONE A INT Q FAM 001","0",,"A","1","CONV","0","N"
"0019","201","79244412","0001","FDO TUTELA 10 STUDIO GARULLI","0",,"A","1","CONV","30","N"
"0019","202","79244413","0001","FDO TUTELA 14 CONSORZIO BONIFI","0",,"A","1","CONV","30","N"
"0019","203","79244419","0001","FDO TUTELA 04 M.E.P. SRL","0",,"A","1","CONV","30","N"
"0098","103","72908133","0001","FDO TUTELA 13 SIRIO 2002 SRL","0",,"A","1","CONV","30","N"
"0098","106","72908146","0001","FDO TUTELA 15 INT COGEI SRL","0",,"A","1","CONV","30","N"
"0098","107","72908155","0001","FDO TUTELA 10 LA RISANAUTO SRL","0",,"A","1","CONV","30","N"
"0098","158","72908323","0001","FDO TUTELA 10 SAM SRL","0",,"A","1","CONV","30","N"
"0098","159","72908324","0001","FDO TUTELA 10 SE.DI. SRL","0",,"A","1","CONV","30","N"
"0098","163","72908329","0001","FDO TUTELA 10 MO19 Srl","0",,"A","1","CONV","30","N"
"0098","269","72908416","0001","FDO TUTELA 11 IRQ10 SRL","0",,"A","1","CONV","30","N"
"0166","20","506188042","0001","SOCI 29 ANNI","0",,"A","1","CONV","30","N"
"0088","166","72908080","0001","MITUTELA BASE 069","0",,"A","1","CONV","0","N"
"0171","1","0000000000","0003","DIPENDENTI SILVER","0",,"A","12","CONV","60","N"
"0217","109","501049255","0001","FT3 SCOPELLO CERAMICHE","0",,"A","1","CONV","30","N"
"0179","77","505798978","0001","OPZ AI/QUAS/5 BASE PROGRESS SW","0",,"A","1","CONV","0","N"
"0056","8","253742118","0002","P&P PLUS INTEGRATIVA 1P","0",,"A","2","CONV","60","N"
"0098","25","72908183","0001","FDO TUTELA 10 BASSOLI E MARINO","0",,"A","1","CONV","30","N"
"0088","154","72908480","0001","MITUTELA MEDIUM 070","0",,"A","1","CONV","0","N"
