"IDFATTURA","ANNO_PRA","NUM_PRA","PRG_VOCE"
"303","2024","00000986","1"
"201","2024","00000847","1"
"258","2024","00001000","1"
"841","2024","00002513","1"
"3342","2024","00007158","5"
"3342","2024","00007158","6"
"408","2024","00001466","1"
"406","2024","00001463","1"
"370","2024","00001366","1"
"535","2024","00001777","1"
"993","2024","00002894","1"
"348","2024","00001299","1"
"758","2024","00002327","1"
"719","2024","00002250","1"
"148","2024","00000667","1"
"153","2024","00000689","1"
"122","2024","00000497","1"
"682","2024","00002137","1"
"625","2024","00002014","1"
"356","2024","00001321","1"
"400","2024","00001452","2"
"517","2024","00000078","1"
"789","2024","00002388","1"
"221","2024","00000892","1"
"405","2024","00001461","1"
"538","2024","00001783","1"
"562","2024","00001843","1"
"3317","2024","00008163","1"
"739","2024","00002289","1"
"3342","2024","00007158","7"
"3342","2024","00007158","8"
"859","2024","00002549","6"
"851","2024","00002530","1"
"627","2024","00001074","1"
"627","2024","00001074","2"
"627","2024","00001074","3"
"3342","2024","00007158","9"
"3342","2024","00007158","10"
"319","2024","00001231","1"
"633","2024","00002028","1"
"678","2024","00002129","1"
"3342","2024","00007158","11"
"3319","2024","00006663","1"
"3321","2024","00008169","1"
"320","2024","00001233","1"
"3299","2024","00008127","2"
"478","2024","00001648","1"
"350","2024","00001303","1"
"679","2024","00001082","1"
"679","2024","00001082","2"
"579","2024","00001899","1"
"683","2024","00001095","1"
"683","2024","00001095","2"
"683","2024","00001095","3"
"683","2024","00001095","4"
"683","2024","00001095","5"
"683","2024","00001095","6"
"683","2024","00001095","7"
"683","2024","00001095","8"
"683","2024","00001095","9"
"683","2024","00001095","10"
"683","2024","00001095","11"
"686","2024","00002143","1"
"538","2024","00001783","2"
"570","2024","00001871","1"
"235","2024","00000927","1"
"3299","2024","00008127","3"
"3300","2024","00008127","4"
"726","2024","00002267","1"
"369","2024","00001361","1"
"731","2024","00002265","1"
"271","2024","00001036","1"
"250","2024","00000974","1"
"742","2024","00002293","1"
"897","2024","00002644","1"
"521","2024","00001753","1"
"176","2024","00000772","1"
"804","2024","00002424","1"
"889","2024","00002620","1"
"263","2024","00001017","1"
"62","2024","00000053","2"
"59","2024","00000007","1"
"3329","2024","00008183","1"
"3346","2024","00008215","1"
"61","2024","00000053","1"
"702","2024","00002211","1"
"721","2024","00002254","1"
"3350","2024","00008222","1"
"615","2024","00001994","1"
"273","2024","00001040","1"
"273","2024","00001040","2"
"3352","2024","00008225","1"
"707","2024","00002219","1"
"383","2024","00001420","1"
"500","2024","00001704","2"
"800","2024","00002418","1"
"456","2024","00001587","1"
"811","2024","00001972","1"
"546","2024","00001803","1"
"604","2024","00001966","1"
"783","2024","00002377","1"
"578","2024","00001897","1"
"593","2024","00001946","1"
"267","2024","00001030","1"
"668","2024","00002115","1"
"669","2024","00002115","2"
"813","2024","00001193","1"
"424","2024","00001510","1"
"308","2024","00001189","1"
"431","2024","00001529","1"
"416","2024","00001491","1"
"632","2024","00002026","1"
"1012","2024","00000968","1"
"994","2024","00001080","1"
"395","2024","00001442","1"
"165","2024","00000224","1"
"477","2024","00001646","1"
"3357","2024","00008235","1"
"527","2024","00001763","2"
"530","2024","00001767","1"
"3356","2024","00005520","1"
"778","2024","00002363","1"
"743","2024","00002295","1"
"761","2024","00002333","1"
"3343","2024","00008209","1"
"538","2024","00001783","3"
"538","2024","00001783","4"
"763","2024","00002335","1"
"538","2024","00001783","5"
"854","2024","00002536","1"
"527","2024","00001763","3"
"995","2024","00002896","1"
"1004","2024","00002924","1"
"992","2024","00002892","1"
"939","2024","00002754","1"
"947","2024","00002785","1"
"1027","2024","00002966","1"
"980","2024","00002872","1"
"819","2024","00002452","1"
"1028","2024","00002510","1"
"666","2024","00002111","1"
"163","2024","00000722","1"
"3309","2024","00008143","1"
"3348","2024","00008218","1"
"3341","2024","00008207","1"
"3359","2024","00008237","2"
"1043","2024","00001668","2"
"1046","2024","00003006","1"
"1009","2024","00002932","2"
"3367","2024","00008263","1"
"946","2024","00002783","1"
"918","2024","00002696","1"
"1008","2024","00002932","1"
"1029","2024","00002968","1"
"3363","2024","00008251","1"
"3366","2024","00008261","1"
"3367","2024","00008263","2"
"680","2024","00002131","1"
"3371","2024","00007368","1"
"28","2023","00000478","1"
"30","2023","00000486","1"
"2","2023","00000364","1"
"2","2023","00000364","2"
"1","2023","00000364","3"
"1","2023","00000364","4"
"30","2023","00000486","2"
"30","2023","00000486","3"
"294","2024","00001131","1"
"167","2024","00000734","1"
"337","2024","00000025","1"
"339","2024","00001277","1"
"93","2024","00000280","1"
"291","2024","00000633","3"
"162","2024","00000720","1"
"93","2024","00000280","2"
"487","2024","00001673","1"
"664","2024","00002107","1"
"418","2024","00001349","1"
"144","2024","00000637","1"
"856","2024","00002543","1"
"188","2024","00000801","1"
"699","2024","00002203","1"
"675","2024","00002123","1"
"423","2024","00001508","1"
"434","2024","00001557","1"
"124","2024","00000521","1"
"1874","2024","00003987","3"
"372","2024","00001370","1"
"173","2024","00000766","1"
"1001","2024","00002914","1"
"833","2024","00002482","1"
"206","2024","00000857","1"
"247","2024","00000966","1"
"748","2024","00002303","1"
"375","2024","00001333","1"
"536","2024","00001779","1"
"553","2024","00001821","1"
"215","2024","00000875","1"
"360","2024","00001331","2"
"244","2024","00000960","2"
"418","2024","00001349","2"
"194","2024","00000825","1"
"101","2024","00000352","1"
"100","2024","00000332","2"
"272","2024","00001019","1"
"272","2024","00001019","2"
"537","2024","00001781","1"
"110","2024","00000445","1"
"486","2024","00001672","1"
"744","2024","00002297","1"
"111","2024","00000447","1"
"112","2024","00000447","2"
"96","2024","00000308","1"
